t=2025-11-23T23:58:06+0530 lvl=info msg="no configuration paths supplied"
t=2025-11-23T23:58:06+0530 lvl=info msg="using configuration at default config path" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-23T23:58:06+0530 lvl=info msg="open config file" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-24T00:07:45+0530 lvl=info msg="join connections" obj=join id=76bb8f72ded9 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:58+0530 lvl=info msg="join connections" obj=join id=ea8f037d21c4 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:58+0530 lvl=info msg="join connections" obj=join id=ab4cfab81a6b l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:59+0530 lvl=info msg="join connections" obj=join id=88b50cf0f958 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:59+0530 lvl=info msg="join connections" obj=join id=7a5048c12677 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:59+0530 lvl=info msg="join connections" obj=join id=7d59c1d100ad l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:59+0530 lvl=info msg="join connections" obj=join id=7c70fa5ce7c8 l=127.0.0.1:8000 r=192.140.153.118:60512
t=2025-11-24T00:07:59+0530 lvl=info msg="join connections" obj=join id=55f1bb9c62b0 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:59+0530 lvl=info msg="join connections" obj=join id=43e12b5c5a9b l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:59+0530 lvl=info msg="join connections" obj=join id=510df5144ee4 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:08:05+0530 lvl=info msg="join connections" obj=join id=5a8269a1d1e6 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:08:05+0530 lvl=info msg="join connections" obj=join id=fd8bd3e732ac l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:08:05+0530 lvl=info msg="join connections" obj=join id=0b9720cfecd4 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:08:05+0530 lvl=info msg="join connections" obj=join id=154222cda33a l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:08:05+0530 lvl=info msg="join connections" obj=join id=b63972239312 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:08:21+0530 lvl=info msg="join connections" obj=join id=0418aeff0d5c l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:08:21+0530 lvl=info msg="join connections" obj=join id=c01be106ee08 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:08:51+0530 lvl=info msg="join connections" obj=join id=3377b4feaa47 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:08:51+0530 lvl=info msg="join connections" obj=join id=e1a745e5099b l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:09:21+0530 lvl=info msg="join connections" obj=join id=29b47ddb9762 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:09:21+0530 lvl=info msg="join connections" obj=join id=cbfe122d93ef l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:09:32+0530 lvl=info msg="join connections" obj=join id=7db3f6f23fc4 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:09:32+0530 lvl=info msg="join connections" obj=join id=c47e030dad67 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:09:52+0530 lvl=info msg="join connections" obj=join id=466df0b9027f l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:09:52+0530 lvl=info msg="join connections" obj=join id=34771e607d14 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:10:22+0530 lvl=info msg="join connections" obj=join id=431cef117d84 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:10:22+0530 lvl=info msg="join connections" obj=join id=43b8270e6b44 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=1b8e2f42375a l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=7f8728530ec5 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=621d9002d3a2 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
